Symbol,Date,Close,Label,Yes_Close,Actual_Close
A,2024-03-13,142.005031607197,0.7841066718101501,146.50999450683594,146.49017333984375
A,2024-03-14,142.11912254616573,0.2766274213790893,146.49017333984375,143.90365600585938
A,2024-03-15,142.2057884383198,0.072537824511528,143.90365600585938,146.15321350097656
A,2024-03-18,142.3670113526773,0.9329491257667542,146.15321350097656,144.77572631835938
A,2024-03-19,142.62510522664024,0.0329751074314117,144.77572631835938,146.0640411376953
A,2024-03-20,143.03154990887288,0.5058580636978149,146.0640411376953,145.9550323486328
A,2024-03-21,143.4161437407979,0.5871715545654297,145.9550323486328,147.40191650390625
A,2024-03-22,143.5122428885793,0.8843822479248047,147.40191650390625,146.1234893798828
A,2024-03-25,143.36215979154895,0.0587574504315853,146.1234893798828,144.25048828125
A,2024-03-26,143.4084513496182,0.1530007272958755,144.25048828125,143.11083984375
A,2024-03-27,143.31592826328824,0.2735766172409057,143.11083984375,146.04421997070312
A,2024-03-28,143.32582460600997,0.7967269420623779,146.04421997070312,144.20095825195312
A,2024-04-01,143.15778402054002,0.0928734093904495,144.20095825195312,144.48484802246094
A,2024-04-02,142.93359841271376,0.0969201177358627,144.48484802246094,143.1051025390625
A,2024-04-03,142.53530063306837,0.4859516322612762,143.1051025390625,142.66835021972656
A,2024-04-04,142.28502778558914,0.6763259768486023,142.66835021972656,140.2960205078125
A,2024-04-05,142.16889583313014,0.0597657226026058,140.2960205078125,143.0554656982422
A,2024-04-08,142.409220883766,0.0061691906303167,143.0554656982422,143.39297485351562
A,2024-04-09,142.4685474859748,0.9472456574440002,143.39297485351562,146.3112335205078
A,2024-04-10,142.57760449671332,0.6008776426315308,146.3112335205078,143.09519958496094
A,2024-04-11,142.31098638993808,0.7901323437690735,143.09519958496094,143.92897033691406
A,2024-04-12,141.80915434193955,0.4737913310527801,143.92897033691406,139.6905059814453
A,2024-04-15,141.01011471187255,0.1770159602165222,139.6905059814453,139.1842803955078
A,2024-04-16,139.86464305673644,0.0427099838852882,139.1842803955078,135.78953552246094
A,2024-04-17,138.44383182121328,0.1026795804500579,135.78953552246094,133.55616760253906
A,2024-04-18,137.16804402742946,0.3025829792022705,133.55616760253906,131.46176147460938
A,2024-04-19,136.21582547734897,0.6317459940910339,131.46176147460938,131.74961853027344
A,2024-04-22,135.85505490372634,0.2012930512428283,131.74961853027344,132.92088317871094
