Symbol,PredictedPrice
MMM,155.6767578125
AOS,69.02468872070312
ABT,131.68405151367188
ABBV,190.850341796875
ACN,288.2724609375
ADBE,371.32122802734375
AMD,148.0398406982422
AES,11.996901512145996
AFL,101.81090545654297
A,124.49380493164062
APD,295.3246765136719
ABNB,137.52085876464844
AKAM,78.06673431396484
ALB,70.77205657958984
ARE,80.1191177368164
ALGN,205.1714630126953
ALLE,149.87049865722656
LNT,61.465476989746094
ALL,193.88064575195312
GOOGL,179.3387451171875
GOOG,180.27053833007812
MO,56.35176086425781
AMZN,223.96676635742188
AMCR,9.773031234741211
AEE,95.83722686767578
AEP,105.31940460205078
AXP,316.58038330078125
AIG,80.70854949951172
AMT,221.65933227539062
AWK,143.55856323242188
AME,181.31138610839844
AMGN,295.7798156738281
APH,96.7667236328125
